strategy,asset,tf,bench_ret,bench_sharpe,ret_none,shp_none,trd_none,ret_up,shp_up,trd_up,ret_trend,shp_trend,trd_trend
triple_ema,DOGE,1d,-48.05363546593212,-0.4191539920836023,-49.3,-1.075,7,-5.75,-0.087,2,-5.75,-0.087,2
rsi_macd_combo,DOGE,1d,-48.05363546593212,-0.4191539920836023,-21.43,-0.086,2,0.0,0.0,0,-21.43,-0.086,2
stoch_rsi,DOGE,1d,-48.05363546593212,-0.4191539920836023,-45.37,-0.864,6,-20.36,-0.947,2,-47.43,-0.971,5
supertrend,DOGE,1d,-48.05363546593212,-0.4191539920836023,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
ichimoku_cloud,DOGE,1d,-48.05363546593212,-0.4191539920836023,-62.81,-1.297,1,-35.09,-1.061,1,-35.09,-1.061,1
pairs_spread,DOGE,1d,-48.05363546593212,-0.4191539920836023,-41.41,-0.846,2,0.0,0.0,0,-41.41,-0.846,2
squeeze_momentum,DOGE,1d,-48.05363546593212,-0.4191539920836023,-12.65,0.04,4,12.07,0.483,2,12.07,0.483,2
atr_breakout,DOGE,1d,-48.05363546593212,-0.4191539920836023,-48.15,-0.801,3,-29.85,-0.521,1,-48.15,-0.801,3
amd_ifvg,DOGE,1d,-48.05363546593212,-0.4191539920836023,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
heikin_ashi_ema,DOGE,1d,-48.05363546593212,-0.4191539920836023,-39.46,-0.751,9,-2.39,0.071,4,-11.7,-0.248,5
order_blocks,DOGE,1d,-48.05363546593212,-0.4191539920836023,-34.45,-0.383,3,-20.5,-0.656,1,-34.45,-0.383,3
vwap_reversion,DOGE,1d,-48.05363546593212,-0.4191539920836023,-61.98,-0.813,92,-24.48,-0.556,23,-51.45,-0.797,60
chart_pattern,DOGE,1d,-48.05363546593212,-0.4191539920836023,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
liquidity_sweeps,DOGE,1d,-48.05363546593212,-0.4191539920836023,-51.68,-1.037,1,0.0,0.0,0,-51.68,-1.037,1
parabolic_sar,DOGE,1d,-48.05363546593212,-0.4191539920836023,-26.87,-0.321,13,1.2,0.172,3,-3.52,0.078,7
range_scalper,DOGE,1d,-48.05363546593212,-0.4191539920836023,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
sweep_squeeze_combo,DOGE,1d,-48.05363546593212,-0.4191539920836023,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
adx_trend,DOGE,1d,-48.05363546593212,-0.4191539920836023,-34.23,-1.027,1,-34.23,-1.027,1,-34.23,-1.027,1
donchian_breakout,DOGE,1d,-48.05363546593212,-0.4191539920836023,-16.58,-0.063,3,-20.57,-0.16,3,-20.57,-0.16,3
tema_cross,DOGE,1d,-48.05363546593212,-0.4191539920836023,-43.61,-1.416,4,0.0,0.0,0,0.0,0.0,0
sma_crossover,ADA,1d,-65.91399416909621,-1.038830768237757,-20.37,-0.487,3,-2.95,0.069,1,-2.95,0.069,1
ema_crossover,ADA,1d,-65.91399416909621,-1.038830768237757,-19.34,-0.333,7,-0.37,0.16,3,-0.37,0.16,3
rsi,ADA,1d,-65.91399416909621,-1.038830768237757,-53.4,-0.924,2,0.0,0.0,0,-66.56,-1.602,1
bollinger_bands,ADA,1d,-65.91399416909621,-1.038830768237757,-43.72,-0.57,4,0.0,0.0,0,-44.57,-0.675,3
macd,ADA,1d,-65.91399416909621,-1.038830768237757,-59.95,-1.142,16,-28.24,-0.817,3,-46.52,-0.831,10
mean_reversion,ADA,1d,-65.91399416909621,-1.038830768237757,-64.11,-1.374,4,0.0,0.0,0,-62.1,-1.371,3
momentum,ADA,1d,-65.91399416909621,-1.038830768237757,-55.5,-1.415,11,-14.37,-0.284,4,-7.37,-0.005,5
volume_weighted,ADA,1d,-65.91399416909621,-1.038830768237757,-19.93,-0.896,2,-15.96,-0.709,1,-15.96,-0.709,1
triple_ema,ADA,1d,-65.91399416909621,-1.038830768237757,-23.57,-0.671,6,-9.41,-0.208,3,-9.41,-0.208,3
rsi_macd_combo,ADA,1d,-65.91399416909621,-1.038830768237757,-48.53,-0.789,2,0.0,0.0,0,-48.53,-0.789,2
stoch_rsi,ADA,1d,-65.91399416909621,-1.038830768237757,-37.79,-0.593,8,10.3,0.609,1,-27.02,-0.383,7
supertrend,ADA,1d,-65.91399416909621,-1.038830768237757,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
ichimoku_cloud,ADA,1d,-65.91399416909621,-1.038830768237757,-9.15,-0.293,1,-9.15,-0.293,1,-9.15,-0.293,1
pairs_spread,ADA,1d,-65.91399416909621,-1.038830768237757,-54.45,-1.03,3,0.0,0.0,0,-55.45,-1.132,2
squeeze_momentum,ADA,1d,-65.91399416909621,-1.038830768237757,-23.24,-0.235,2,-3.97,0.153,1,-3.97,0.153,1
atr_breakout,ADA,1d,-65.91399416909621,-1.038830768237757,-58.48,-1.082,3,-26.52,-0.369,2,-58.48,-1.082,3
amd_ifvg,ADA,1d,-65.91399416909621,-1.038830768237757,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
heikin_ashi_ema,ADA,1d,-65.91399416909621,-1.038830768237757,-51.02,-1.315,9,3.47,0.264,3,-7.0,-0.04,4
order_blocks,ADA,1d,-65.91399416909621,-1.038830768237757,-55.52,-1.483,2,-21.28,-0.751,1,-55.52,-1.483,2
vwap_reversion,ADA,1d,-65.91399416909621,-1.038830768237757,-68.47,-1.139,91,-13.09,-0.303,21,-48.24,-0.794,54
chart_pattern,ADA,1d,-65.91399416909621,-1.038830768237757,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
liquidity_sweeps,ADA,1d,-65.91399416909621,-1.038830768237757,-66.56,-1.602,1,0.0,0.0,0,-66.56,-1.602,1
parabolic_sar,ADA,1d,-65.91399416909621,-1.038830768237757,-49.25,-0.964,16,-1.54,0.022,2,-21.84,-0.253,9
range_scalper,ADA,1d,-65.91399416909621,-1.038830768237757,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
sweep_squeeze_combo,ADA,1d,-65.91399416909621,-1.038830768237757,-70.52,-1.582,1,0.0,0.0,0,-70.52,-1.582,1
adx_trend,ADA,1d,-65.91399416909621,-1.038830768237757,-42.18,-1.308,3,-42.18,-1.308,3,-42.18,-1.308,3
donchian_breakout,ADA,1d,-65.91399416909621,-1.038830768237757,-35.74,-0.987,4,-24.93,-0.596,3,-24.93,-0.596,3
tema_cross,ADA,1d,-65.91399416909621,-1.038830768237757,-0.08,0.128,3,9.06,0.506,1,9.06,0.506,1
sma_crossover,AVAX,1d,-57.24519230769231,-0.6775890180009982,-38.57,-0.608,4,-35.11,-0.53,3,-35.11,-0.53,3
ema_crossover,AVAX,1d,-57.24519230769231,-0.6775890180009982,-40.95,-0.642,7,-15.32,-1.061,1,-15.32,-1.061,1
rsi,AVAX,1d,-57.24519230769231,-0.6775890180009982,-48.03,-0.811,2,0.0,0.0,0,-60.45,-1.395,1
bollinger_bands,AVAX,1d,-57.24519230769231,-0.6775890180009982,-47.93,-1.075,2,-18.97,-0.466,1,-47.93,-1.075,2
macd,AVAX,1d,-57.24519230769231,-0.6775890180009982,-42.86,-0.656,14,-9.26,-0.747,1,-26.03,-0.392,7
mean_reversion,AVAX,1d,-57.24519230769231,-0.6775890180009982,-48.04,-1.052,4,0.0,0.0,0,-34.31,-0.777,2
momentum,AVAX,1d,-57.24519230769231,-0.6775890180009982,5.28,0.343,9,-12.96,-0.366,2,-18.95,-0.599,3
volume_weighted,AVAX,1d,-57.24519230769231,-0.6775890180009982,10.33,0.457,2,-6.01,-0.288,1,-6.01,-0.288,1
triple_ema,AVAX,1d,-57.24519230769231,-0.6775890180009982,-33.42,-0.707,7,-10.91,-0.293,2,-10.91,-0.293,2
rsi_macd_combo,AVAX,1d,-57.24519230769231,-0.6775890180009982,-13.5,-0.013,3,0.0,0.0,0,-13.5,-0.013,3
stoch_rsi,AVAX,1d,-57.24519230769231,-0.6775890180009982,-35.42,-0.429,7,-44.01,-0.773,3,-39.2,-0.59,5
supertrend,AVAX,1d,-57.24519230769231,-0.6775890180009982,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
ichimoku_cloud,AVAX,1d,-57.24519230769231,-0.6775890180009982,-59.88,-1.326,3,0.0,0.0,0,0.0,0.0,0
