asset,tier,strategy,direction,regime,split,sharpe,ret,trades
BTC,low,adx_trend,short,ranging,train,-0.218,-21.49,13
BTC,low,adx_trend,short,trending_up,test,-0.38,-17.38,9
BTC,low,adx_trend,short,trending_down,test,-0.658,-29.71,19
BTC,low,adx_trend,short,ranging,test,-0.501,-23.18,11
BTC,low,donchian_breakout,long,trending_up,train,1.859,230.06,42
BTC,low,donchian_breakout,long,trending_down,train,0.312,9.54,32
BTC,low,donchian_breakout,long,ranging,train,0.827,47.51,39
BTC,low,donchian_breakout,long,trending_up,test,-0.737,-28.96,30
BTC,low,donchian_breakout,long,trending_down,test,-0.094,-5.68,24
BTC,low,donchian_breakout,long,ranging,test,-0.579,-23.12,31
BTC,low,donchian_breakout,short,trending_up,train,0.248,5.97,22
BTC,low,donchian_breakout,short,trending_down,train,-0.486,-31.87,37
BTC,low,donchian_breakout,short,ranging,train,-1.011,-40.64,32
BTC,low,donchian_breakout,short,trending_up,test,-0.498,-10.12,17
BTC,low,donchian_breakout,short,trending_down,test,0.12,-0.98,29
BTC,low,donchian_breakout,short,ranging,test,-0.976,-27.84,25
BTC,low,tema_cross,long,trending_up,train,0.299,8.67,48
BTC,low,tema_cross,long,trending_down,train,-0.431,-6.39,9
BTC,low,tema_cross,long,ranging,train,0.958,41.37,35
BTC,low,tema_cross,long,trending_up,test,-0.249,-5.23,25
BTC,low,tema_cross,long,trending_down,test,-0.358,-1.93,7
BTC,low,tema_cross,long,ranging,test,-0.467,-9.72,33
BTC,low,tema_cross,short,trending_up,train,-1.75,-80.9,40
BTC,low,tema_cross,short,trending_down,train,-1.518,-77.94,37
BTC,low,tema_cross,short,ranging,train,-1.748,-81.51,37
BTC,low,tema_cross,short,trending_up,test,0.838,34.22,22
BTC,low,tema_cross,short,trending_down,test,0.669,25.8,22
BTC,low,tema_cross,short,ranging,test,0.251,3.84,33
ETH,low,sma_crossover,long,trending_up,train,0.416,19.34,37
ETH,low,sma_crossover,long,trending_down,train,0.394,16.44,44
ETH,low,sma_crossover,long,ranging,train,0.419,19.35,50
ETH,low,sma_crossover,long,trending_up,test,-0.425,-28.3,26
ETH,low,sma_crossover,long,trending_down,test,0.058,-3.93,28
ETH,low,sma_crossover,long,ranging,test,0.07,-7.56,30
ETH,low,sma_crossover,short,trending_up,train,-0.844,-31.61,38
ETH,low,sma_crossover,short,trending_down,train,-0.893,-52.47,40
ETH,low,sma_crossover,short,ranging,train,-1.572,-53.47,43
ETH,low,sma_crossover,short,trending_up,test,0.635,22.48,23
ETH,low,sma_crossover,short,trending_down,test,0.542,21.67,25
ETH,low,sma_crossover,short,ranging,test,-0.391,-23.32,28
ETH,low,ema_crossover,long,trending_up,train,0.948,80.06,56
ETH,low,ema_crossover,long,trending_down,train,0.523,24.57,45
ETH,low,ema_crossover,long,ranging,train,0.696,45.84,70
ETH,low,ema_crossover,long,trending_up,test,-1.219,-51.7,38
ETH,low,ema_crossover,long,trending_down,test,0.676,21.81,27
ETH,low,ema_crossover,long,ranging,test,0.029,-9.26,49
ETH,low,ema_crossover,short,trending_up,train,-0.231,-8.7,32
ETH,low,ema_crossover,short,trending_down,train,-0.246,-24.26,52
ETH,low,ema_crossover,short,ranging,train,-0.634,-39.47,68
ETH,low,ema_crossover,short,trending_up,test,-0.587,-19.07,24
ETH,low,ema_crossover,short,trending_down,test,0.326,6.17,39
ETH,low,ema_crossover,short,ranging,test,-0.755,-43.72,48
ETH,low,rsi,long,trending_up,train,0.463,22.91,21
ETH,low,rsi,long,trending_down,train,0.823,67.16,21
ETH,low,rsi,long,ranging,train,0.246,5.6,17
ETH,low,rsi,long,trending_up,test,-0.917,-53.64,12
ETH,low,rsi,long,trending_down,test,-0.338,-34.8,12
ETH,low,rsi,long,ranging,test,-0.578,-39.45,11
ETH,low,rsi,short,trending_up,train,-0.444,-70.06,21
ETH,low,rsi,short,trending_down,train,-0.345,-67.05,21
ETH,low,rsi,short,ranging,train,-0.551,-78.67,17
ETH,low,rsi,short,trending_up,test,-0.057,-29.55,11
ETH,low,rsi,short,trending_down,test,-0.222,-37.98,11
ETH,low,rsi,short,ranging,test,-0.567,-50.91,9
ETH,low,bollinger_bands,long,trending_up,train,0.887,39.46,40
ETH,low,bollinger_bands,long,trending_down,train,0.486,26.09,45
ETH,low,bollinger_bands,long,ranging,train,1.058,60.53,34
ETH,low,bollinger_bands,long,trending_up,test,0.327,7.52,25
ETH,low,bollinger_bands,long,trending_down,test,0.048,-13.52,28
ETH,low,bollinger_bands,long,ranging,test,0.36,9.15,28
ETH,low,bollinger_bands,short,trending_up,train,-0.687,-72.92,44
ETH,low,bollinger_bands,short,trending_down,train,-0.701,-57.35,46
ETH,low,bollinger_bands,short,ranging,train,-0.723,-75.08,41
ETH,low,bollinger_bands,short,trending_up,test,0.406,11.66,26
ETH,low,bollinger_bands,short,trending_down,test,-0.61,-39.0,24
ETH,low,bollinger_bands,short,ranging,test,-0.777,-45.6,25
ETH,low,macd,long,trending_up,train,0.731,44.86,102
ETH,low,macd,long,trending_down,train,0.792,47.38,74
ETH,low,macd,long,ranging,train,1.068,65.65,97
ETH,low,macd,long,trending_up,test,-0.398,-23.83,60
ETH,low,macd,long,trending_down,test,-0.188,-19.23,54
ETH,low,macd,long,ranging,test,0.763,30.92,64
ETH,low,macd,short,trending_up,train,-0.925,-45.1,63
ETH,low,macd,short,trending_down,train,-0.578,-39.03,109
ETH,low,macd,short,ranging,train,0.487,21.91,98
ETH,low,macd,short,trending_up,test,0.017,-4.86,35
ETH,low,macd,short,trending_down,test,0.663,29.99,69
ETH,low,macd,short,ranging,test,0.666,27.43,64
ETH,low,mean_reversion,long,trending_up,train,-0.477,-22.16,46
ETH,low,mean_reversion,long,trending_down,train,0.327,11.35,53
ETH,low,mean_reversion,long,ranging,train,0.018,-5.04,44
ETH,low,mean_reversion,long,trending_up,test,-0.754,-25.0,27
ETH,low,mean_reversion,long,trending_down,test,-0.378,-33.13,34
ETH,low,mean_reversion,long,ranging,test,0.204,2.4,30
ETH,low,mean_reversion,short,trending_up,train,-0.613,-67.73,45
ETH,low,mean_reversion,short,trending_down,train,-0.596,-70.32,53
ETH,low,mean_reversion,short,ranging,train,-0.678,-70.01,55
ETH,low,mean_reversion,short,trending_up,test,-0.037,-19.3,28
ETH,low,mean_reversion,short,trending_down,test,-0.279,-30.5,38
ETH,low,mean_reversion,short,ranging,test,-0.547,-50.6,39
ETH,low,momentum,long,trending_up,train,0.825,67.14,33
ETH,low,momentum,long,trending_down,train,0.227,4.04,32
ETH,low,momentum,long,ranging,train,0.074,-5.96,29
ETH,low,momentum,long,trending_up,test,-0.8,-42.95,30
ETH,low,momentum,long,trending_down,test,0.78,35.04,27
ETH,low,momentum,long,ranging,test,0.528,19.95,27
ETH,low,momentum,short,trending_up,train,-0.242,-15.29,26
ETH,low,momentum,short,trending_down,train,-0.306,-28.2,30
ETH,low,momentum,short,ranging,train,-0.327,-24.08,28
ETH,low,momentum,short,trending_up,test,0.188,2.06,23
ETH,low,momentum,short,trending_down,test,-0.077,-17.87,35
ETH,low,momentum,short,ranging,test,-0.44,-27.58,28
ETH,low,volume_weighted,long,trending_up,train,1.312,131.74,32
ETH,low,volume_weighted,long,trending_down,train,1.629,192.89,29
ETH,low,volume_weighted,long,ranging,train,1.426,150.75,33
ETH,low,volume_weighted,long,trending_up,test,0.094,-3.87,21
